team1,team2,win,tie,lose
Algeria,Argentina,-1,-1,-1
Algeria,Australia,-1,-1,-1
Algeria,Austria,-1,-1,-1
Algeria,Belgium,-1,-1,-1
Algeria,Bosnia and Herzegovina,-1,-1,-1
Algeria,Brazil,-1,-1,-1
Algeria,Canada,-1,-1,-1
Algeria,Cape Verde,-1,-1,-1
Algeria,Colombia,-1,-1,-1
Algeria,Croatia,-1,-1,-1
Algeria,Curaçao,-1,-1,-1
Algeria,Czech Republic,-1,-1,-1
Algeria,DR Congo,-1,-1,-1
Algeria,Ecuador,-1,-1,-1
Algeria,Egypt,-1,-1,-1
Algeria,England,-1,-1,-1
Algeria,France,-1,-1,-1
Algeria,Germany,-1,-1,-1
Algeria,Ghana,-1,-1,-1
Algeria,Haiti,-1,-1,-1
Algeria,Iran,-1,-1,-1
Algeria,Iraq,-1,-1,-1
Algeria,Ivory Coast,-1,-1,-1
Algeria,Japan,-1,-1,-1
Algeria,Jordan,-1,-1,-1
Algeria,Mexico,-1,-1,-1
Algeria,Morocco,-1,-1,-1
Algeria,Netherlands,-1,-1,-1
Algeria,New Zealand,-1,-1,-1
Algeria,Norway,-1,-1,-1
Algeria,Panama,-1,-1,-1
Algeria,Paraguay,-1,-1,-1
Algeria,Portugal,-1,-1,-1
Algeria,Qatar,-1,-1,-1
Algeria,Saudi Arabia,-1,-1,-1
Algeria,Scotland,-1,-1,-1
Algeria,Senegal,-1,-1,-1
Algeria,South Africa,-1,-1,-1
Algeria,South Korea,-1,-1,-1
Algeria,Spain,-1,-1,-1
Algeria,Sweden,-1,-1,-1
Algeria,Switzerland,-1,-1,-1
Algeria,Tunisia,-1,-1,-1
Algeria,Turkey,-1,-1,-1
Algeria,United States,-1,-1,-1
Algeria,Uruguay,-1,-1,-1
Algeria,Uzbekistan,-1,-1,-1
Argentina,Australia,-1,-1,-1
Argentina,Austria,-1,-1,-1
Argentina,Belgium,-1,-1,-1
Argentina,Bosnia and Herzegovina,-1,-1,-1
Argentina,Brazil,-1,-1,-1
Argentina,Canada,-1,-1,-1
Argentina,Cape Verde,-1,-1,-1
Argentina,Colombia,-1,-1,-1
Argentina,Croatia,-1,-1,-1
Argentina,Curaçao,-1,-1,-1
Argentina,Czech Republic,-1,-1,-1
Argentina,DR Congo,-1,-1,-1
Argentina,Ecuador,-1,-1,-1
Argentina,Egypt,-1,-1,-1
Argentina,England,-1,-1,-1
Argentina,France,-1,-1,-1
Argentina,Germany,-1,-1,-1
Argentina,Ghana,-1,-1,-1
Argentina,Haiti,-1,-1,-1
Argentina,Iran,-1,-1,-1
Argentina,Iraq,-1,-1,-1
Argentina,Ivory Coast,-1,-1,-1
