team1,team2,win,tie,lose
Algeria,Argentina,0.13,0,0.87
Algeria,Australia,0.70,0,0.30
Algeria,Austria,0.45,0,0.55
Algeria,Belgium,0.30,0,0.70
Algeria,Bosnia and Herzegovina,0.45,0,0.55
Algeria,Brazil,0.15,0,0.85
Algeria,Canada,0.40,0,0.60
Algeria,Cape Verde,0.90,0,0.10
Algeria,Colombia,0.35,0,0.65
Algeria,Croatia,0.25,0,0.75
Algeria,Curaçao,0.85,0,0.15
Algeria,Czech Republic,0.80,0,0.20
Algeria,DR Congo,0.95,0,0.05
Algeria,Ecuador,0.80,0,0.20
Algeria,Egypt,0.50,0,0.50
Algeria,England,0.25,0,0.75
Algeria,France,0.20,0,0.80
Algeria,Germany,0.30,0,0.70
Algeria,Ghana,0.50,0,0.50
Algeria,Haiti,0.80,0,0.20
Algeria,Iran,0.55,0,0.45
Algeria,Iraq,0.50,0,0.50
Algeria,Ivory Coast,0.50,0,0.50
Algeria,Japan,0.50,0,0.50
Algeria,Jordan,0.81,0,0.19
Algeria,Mexico,0.40,0,0.60
Algeria,Morocco,0.40,0,0.60
Algeria,Netherlands,0.40,0,0.60
Algeria,New Zealand,0.65,0,0.35
Algeria,Norway,0.35,0,0.65
Algeria,Panama,0.65,0,0.35
Algeria,Paraguay,0.65,0,0.35
Algeria,Portugal,0.30,0,0.70
Algeria,Qatar,0.90,0,0.10
Algeria,Saudi Arabia,0.80,0,0.20
Algeria,Scotland,0.35,0,0.65
Algeria,Senegal,0.50,0,0.50
Algeria,South Africa,0.70,0,0.30
Algeria,South Korea,0.50,0,0.50
Algeria,Spain,0.25,0,0.75
Algeria,Sweden,0.35,0,0.65
Algeria,Switzerland,0.40,0,0.60
Algeria,Tunisia,0.50,0,0.50
Algeria,Turkey,0.50,0,0.50
Algeria,United States,0.50,0,0.50
Algeria,Uruguay,0.50,0,0.50
Algeria,Uzbekistan,0.40,0,0.60
Argentina,Australia,0.80,0,0.20
Argentina,Austria,0.77,0,0.23
Argentina,Belgium,0.65,0,0.35
Argentina,Bosnia and Herzegovina,0.80,0,0.20
Argentina,Brazil,0.55,0,0.45
Argentina,Canada,0.75,0,0.25
Argentina,Cape Verde,0.95,0,0.05
Argentina,Colombia,0.80,0,0.20
Argentina,Croatia,0.65,0,0.35
Argentina,Curaçao,0.95,0,0.05
Argentina,Czech Republic,0.80,0,0.20
Argentina,DR Congo,0.95,0,0.05
Argentina,Ecuador,0.80,0,0.20
Argentina,Egypt,0.75,0,0.25
Argentina,England,0.60,0,0.40
Argentina,France,0.45,0,0.55
Argentina,Germany,0.60,0,0.40
Argentina,Ghana,0.75,0,0.25
Argentina,Haiti,0.99,0,0.01
Argentina,Iran,0.90,0,0.10
Argentina,Iraq,0.90,0,0.10
Argentina,Ivory Coast,0.90,0,0.10
Argentina,Japan,0.80,0,0.20
Argentina,Jordan,0.93,0,0.07
Argentina,Mexico,0.75,0,0.25
Argentina,Morocco,0.75,0,0.25
Argentina,Netherlands,0.60,0,0.40
Argentina,New Zealand,0.95,0,0.05
Argentina,Norway,0.65,0,0.35
Argentina,Panama,0.80,0,0.20
Argentina,Paraguay,0.80,0,0.20
Argentina,Portugal,0.60,0,0.40
Argentina,Qatar,0.95,0,0.05
Argentina,Saudi Arabia,0.90,0,0.10
Argentina,Scotland,0.85,0,0.15
Argentina,Senegal,0.80,0,0.20
Argentina,South Africa,0.85,0,0.15
Argentina,South Korea,0.80,0,0.20
Argentina,Spain,0.45,0,0.55
Argentina,Sweden,0.70,0,0.30
Argentina,Switzerland,0.75,0,0.25
Argentina,Tunisia,0.80,0,0.20
Argentina,Turkey,0.80,0,0.20
Argentina,United States,0.80,0,0.20
Argentina,Uruguay,0.70,0,0.30
Argentina,Uzbekistan,0.85,0,0.15
Australia,Austria,0.35,0,0.65
Australia,Belgium,0.30,0,0.70
Australia,Bosnia and Herzegovina,0.45,0,0.55
Australia,Brazil,0.25,0,0.75
Australia,Canada,0.35,0,0.65
Australia,Cape Verde,0.99,0,0.01
Australia,Colombia,0.45,0,0.55
Australia,Croatia,0.35,0,0.65
Australia,Curaçao,0.99,0,0.01
Australia,Czech Republic,0.50,0,0.50
Australia,DR Congo,0.99,0,0.01
Australia,Ecuador,0.60,0,0.40
Australia,Egypt,0.40,0,0.60
Australia,England,0.15,0,0.85
Australia,France,0.15,0,0.85
Australia,Germany,0.25,0,0.75
Australia,Ghana,0.45,0,0.55
Australia,Haiti,0.99,0,0.01
Australia,Iran,0.60,0,0.40
Australia,Iraq,0.65,0,0.35
Australia,Ivory Coast,0.70,0,0.30
Australia,Japan,0.35,0,0.65
Australia,Jordan,0.85,0,0.15
Australia,Mexico,0.50,0,0.50
Australia,Morocco,0.40,0,0.60
Australia,Netherlands,0.30,0,0.70
Australia,New Zealand,0.85,0,0.15
Australia,Norway,0.25,0,0.75
Australia,Panama,0.80,0,0.20
Australia,Paraguay,0.37,0,0.63
Australia,Portugal,0.25,0,0.75
Australia,Qatar,0.85,0,0.15
Australia,Saudi Arabia,0.85,0,0.15
Australia,Scotland,0.50,0,0.50
Australia,Senegal,0.50,0,0.50
Australia,South Africa,0.70,0,0.30
Australia,South Korea,0.50,0,0.50
Australia,Spain,0.25,0,0.75
Australia,Sweden,0.40,0,0.60
Australia,Switzerland,0.40,0,0.60
Australia,Tunisia,0.50,0,0.50
Australia,Turkey,0.25,0,0.75
