team1,team2,win,tie,lose
Algeria,Argentina,0.13,0,0.87
Algeria,Australia,0.551268,0.000000,0.448732
Algeria,Austria,0.39,0,0.61
Algeria,Belgium,0.070415,0.000000,0.929585
Algeria,Bosnia and Herzegovina,0.724538,0.000000,0.275462
Algeria,Brazil,0.035575,0.000000,0.964425
Algeria,Canada,0.403717,0.000000,0.596283
Algeria,Cape Verde,0.887611,0.000000,0.112389
Algeria,Colombia,0.073882,0.000000,0.926118
Algeria,Croatia,0.086831,0.000000,0.913169
Algeria,Curacao,0.929585,0.000000,0.070415
Algeria,Czech Republic,0.594202,0.000000,0.405798
Algeria,DR Congo,0.772635,0.000000,0.227365
Algeria,Ecuador,0.131131,0.000000,0.868869
Algeria,Egypt,0.459077,0.000000,0.540923
Algeria,England,0.029192,0.000000,0.970808
Algeria,France,0.019535,0.000000,0.980465
Algeria,Germany,0.043351,0.000000,0.956649
Algeria,Ghana,0.694910,0.000000,0.305090
Algeria,Haiti,0.903846,0.000000,0.096154
Algeria,Iran,0.507914,0.000000,0.492086
Algeria,Iraq,0.863023,0.000000,0.136977
Algeria,Ivory Coast,0.323069,0.000000,0.676931
Algeria,Japan,0.135959,0.000000,0.864041
Algeria,Jordan,0.81,0,0.19
Algeria,Mexico,0.164747,0.000000,0.835253
Algeria,Morocco,0.085923,0.000000,0.914077
Algeria,Netherlands,0.042935,0.000000,0.957065
Algeria,New Zealand,0.875760,0.000000,0.124240
Algeria,Norway,0.118712,0.000000,0.881288
Algeria,Panama,0.744457,0.000000,0.255543
Algeria,Paraguay,0.474478,0.000000,0.525522
Algeria,Portugal,0.033187,0.000000,0.966813
Algeria,Qatar,0.880230,0.000000,0.119770
Algeria,Saudi Arabia,0.816217,0.000000,0.183783
Algeria,Scotland,0.561568,0.000000,0.438432
Algeria,Senegal,0.102592,0.000000,0.897408
Algeria,South Africa,0.822395,0.000000,0.177605
Algeria,South Korea,0.384136,0.000000,0.615864
Algeria,Spain,0.018203,0.000000,0.981797
Algeria,Sweden,0.466590,0.000000,0.533410
Algeria,Switzerland,0.160437,0.000000,0.839563
Algeria,Tunisia,0.703385,0.000000,0.296615
Algeria,Turkey,0.167538,0.000000,0.832462
Algeria,United States,0.213278,0.000000,0.786722
Algeria,Uruguay,0.147146,0.000000,0.852854
Algeria,Uzbekistan,0.781607,0.000000,0.218393
Argentina,Australia,0.981249,0.000000,0.018751
Argentina,Austria,0.77,0,0.23
Argentina,Belgium,0.763405,0.000000,0.236595
Argentina,Bosnia and Herzegovina,0.991154,0.000000,0.008846
Argentina,Brazil,0.611087,0.000000,0.388913
Argentina,Canada,0.966488,0.000000,0.033512
Argentina,Cape Verde,0.997036,0.000000,0.002964
Argentina,Colombia,0.772635,0.000000,0.227365
Argentina,Croatia,0.801997,0.000000,0.198003
Argentina,Curacao,0.998225,0.000000,0.001775
Argentina,Czech Republic,0.984221,0.000000,0.015779
Argentina,DR Congo,0.993139,0.000000,0.006861
Argentina,Ecuador,0.865387,0.000000,0.134613
